r_Citadel_default_post_process_fade_ui | cl | Default: 1<br>
r_citadel_allow_particle_only_portraits | cl | Default: true<br>
r_citadel_antialiasing | cl | Default: 1<br>
r_citadel_clip_sphere_cone_angle | cl, cheat | Default: 40<br>
r_citadel_clip_sphere_dist | cl, cheat | Default: 0.45<br>
r_citadel_clip_sphere_distance_max | cl, cheat | Default: 75<br>
r_citadel_clip_sphere_min_opacity | cl, cheat | Default: 0.4<br>
r_citadel_clip_sphere_skin | cl, cheat | Default: 0.4<br>
r_citadel_cloak_blur_amount | cl, cheat | Default: 0.01<br>cloak
r_citadel_cloak_blur_factor_max_roughness | cl, cheat | Default: 1<br>cloak
r_citadel_cloak_blur_factor_min_roughness | cl, cheat | Default: 1<br>cloak
r_citadel_cloak_blur_noise_amount | cl, cheat | Default: 0.5<br>cloak
r_citadel_cloak_color_tint | cl, cheat | Default: 230 230 230 255<br>cloak
r_citadel_cloak_fresnel_effect | cl, cheat | Default: 0<br>cloak
r_citadel_cloak_intensity | cl, cheat | Default: 1<br>cloak
r_citadel_cloak_refract_amount | cl, cheat | Default: 0<br>cloak
r_citadel_cosmic_veil_fade_dist | cl, cheat | Default: 32<br>cosmic veil
r_citadel_depth_prepass_cull_threshold | cl | Default: 60<br>
r_citadel_depth_prepass_dynamic_objects | cl | Default: true<br>
r_citadel_depthoffield_aperture_diameter | cl | Default: 0<br>Depth of field aperture diameter in inches
r_citadel_depthoffield_debug | cl | Default: false<br>Enable depth of field debug drawing
r_citadel_depthoffield_enable | cl | Default: false<br>Enable/Disable Depth of Field
r_citadel_depthoffield_focus_distance | cl | Default: 200<br>Depth of field focus distance in inches
r_citadel_depthoffield_mode | cl | Default: 0<br>Depth of field mode, 0: Normal 1: Near field only 2: Far field only
r_citadel_depthoffield_sensor_size | cl | Default: 1<br>Depth of field sensor size in inches
r_citadel_disable_npr_lighting | cl | Default: false<br>
r_citadel_distancefield_ao_quality | cl | Default: 0<br>Distance Field AO quality
r_citadel_distancefield_blur | cl | Default: true<br>Enable/Disable distance field blur
r_citadel_distancefield_blur_depth_threshold | cl | Default: 1<br>Distance field blur depth threshold
r_citadel_distancefield_down_sample | cl | Default: 1<br>Distance field down sample factor
r_citadel_distancefield_farfield_enable | cl | Default: true<br>Distance field far field enable
r_citadel_distancefield_farfield_occlusion_length | cl | Default: 192<br>Distance field far field occlusion length
r_citadel_distancefield_farfield_occlusion_start_offset | cl | Default: 16<br>Distance field far field occlusion start offset
r_citadel_distancefield_farfield_resolution | cl | Default: 192<br>Distance field far field resolution
r_citadel_distancefield_farfield_size | cl | Default: 2048<br>Distance field far field size
r_citadel_distancefield_max_distance | cl | Default: 2048<br>Maximum distance before culling
r_citadel_distancefield_min_screen_space_size | cl | Default: 0.015<br>Minimum screen space size before culling
r_citadel_distancefield_occlusion_length | cl | Default: 48<br>Distance field occlusion length
r_citadel_distancefield_ray_origin_bias_max | cl | Default: 3<br>Distance field ray origin bias max
r_citadel_distancefield_ray_origin_bias_min | cl | Default: 0.25<br>Distance field ray origin bias min
r_citadel_distancefield_shadows | cl | Default: true<br>
r_citadel_dlss_settings_mode | cl | Default: 0<br>
r_citadel_enable_pano_world_blur | cl | Default: true<br>Enable world-blur style
r_citadel_fog_quality | cl | Default: 1<br>Fog Quality
r_citadel_fsr2_sharpness | cl | Default: 0.5<br>
r_citadel_fsr3_min_reactiveness | cl | Default: 0.1<br>minimum reactiveness for the FSR3 shader
r_citadel_fsr_enable_mip_bias | cl | Default: true<br>Apply negative mip bias when rendering with FSR.
r_citadel_fsr_rcas_sharpness | cl | Default: 0.25<br>RCAS sharpness when using FSR + RCAS upsample.
r_citadel_glow_health_bar_debug | cl, cheat | Default: false<br>
r_citadel_glow_health_bars | cl | Default: true<br>
r_citadel_gpu_culling | cl | Default: true<br>Citadel/Graphics/GPU Culling
r_citadel_gpu_culling_shadows | cl | Default: true<br>Citadel/Graphics/GPU Cull Shadow Views
r_citadel_gpu_culling_two_pass | cl | Default: true<br>Citadel/Graphics/GPU Culling (Two Pass)
r_citadel_gpu_debug_draw | cl | Default: false<br>
r_citadel_gpu_preview_baked_shadows | cl | Default: true<br>
r_citadel_gpu_preview_denoise | cl | Default: true<br>
r_citadel_gpu_preview_denoise_depth_phi | cl | Default: 20<br>
r_citadel_gpu_preview_denoise_normal_phi | cl | Default: 96<br>
r_citadel_gpu_preview_denoise_passes | cl | Default: 3<br>
r_citadel_gpu_preview_denoise_shadow_passes | cl | Default: 1<br>
r_citadel_gpu_preview_denoise_signal_phi | cl | Default: 1<br>
r_citadel_highlight_particle_only_portraits | cl | Default: false<br>
r_citadel_mboit_bias | cl, cheat | Default: 5e-06<br>
r_citadel_mboit_enabled | cl | Default: false<br>enable moments oit
r_citadel_mboit_overestimation | cl, cheat | Default: 0.25<br>
r_citadel_mboit_quality | cl | Default: 0<br> MBOIT quality, 0: 4 Moments 
r_citadel_npr_force_solid_outline | cl | Default: false<br>
r_citadel_npr_outlines | cl, cheat | Default: true<br>Enable/Disable NPR Outlines
r_citadel_npr_outlines_max_dist | cl, cheat | Default: 600<br>Maximum distance at which NPR outlines are rendered
r_citadel_portrait_allow_particle_only | cl | Default: true<br>
r_citadel_portrait_highlight_particle_only | cl | Default: false<br>
r_citadel_render_game | cl, cheat | Default: true<br>Should you render the main game world
r_citadel_screenspace_particles_full_res | cl | Default: false<br>Render screen space particles at full resolution
r_citadel_see_thru_walls_opacity | cl, cheat | Default: 0.3<br>Opacity scale for see-thru UI
r_citadel_selection_outline2_alpha | cl | Default: 0.8<br>Selection Outline Alpha
r_citadel_selection_outline2_fade_pow | cl | Default: 1.5<br>Selection Outline Fade Pow
r_citadel_selection_outline2_offset | cl | Default: 0.3<br>Selection Outline Offset: -1 for interior, 0 for centered, 1 for exterior.
r_citadel_selection_outline2_width | cl | Default: 4<br>Selection Outline Width
r_citadel_shadow_caching | cl | Default: true<br>
r_citadel_shadow_caching_stats | cl | Print information about shadow caching
r_citadel_shadow_quality | cl | Default: 1<br>Shadow Quality
r_citadel_shadowdb | cl | Default: 2048<br>
r_citadel_ssao_quality | cl | Default: 0<br>
r_citadel_ssao_thin_occluder_compensation | cl | Default: 0<br>
r_citadel_sun_shadow_slope_scale_depth_bias | cl | Default: 1<br>
r_citadel_upscaling | cl | Default: 4<br>
r_shadows | cheat | Default: false<br>
r_shadowtile_waveops |  | Default: false<br>
r_ssao |  | Default: false<br>Set to use screen-space ambient occlusion
r_ssao_bias |  | Default: 0.5<br>
r_ssao_blur |  | Default: true<br>
r_ssao_radius |  | Default: 30<br>
r_ssao_strength |  | Default: 1.2<br>
r_effects_bloom | cl | Default: true<br>
r_bloom_tent_filter_radius | cl, cheat | Default: 0<br>bloom mip up-sample filtering radius (using 3x3 tent filter, radius in mip level texels), 0.0 radius =&gt; box (2x2) filter with (fixed) 1.0 radius
r_depth_of_field | cl | Default: true<br>
r_postprocess_enable | cl | Default: true<br>
r_distancefield_enable | cl | Default: true<br>Graphics/Enable Distance Field rendering
r_arealights | cl | Default: true<br>
r_indirectlighting | cheat | Default: true<br>Set to use indirect lighting
r_low_latency |  | Default: 1<br>NVIDIA Low Latency/AMD Anti-Lag 2 (0 = off, 1 = on, 2 = NV-only, on + boost)
r_low_latency_trigger_flash |  | Default: true<br>NVIDIA Low Latency Trigger Flash
r_frame_sync_enable |  | Default: false<br>
lb_allow_shadow_rotation | cheat | Default: true<br>SceneSystem/LightBinner/Shadow Rotation
lb_allow_time_sliced_shadow_map_rendering |  | Default: true<br>Allow time-sliced shadow buffer rendering when enabled via gameinfo.gi
lb_barnlight_shadow_use_precomputed_vis |  | Default: true<br>
lb_barnlight_shadowmap_scale | release | Default: 0.5<br>Scale for computed barnlight shadowmap size
lb_bin_slices |  | Default: 8192<br>
