Name|Default|Cheat|Description
lb_allow_shadow_rotation|true|Yes|SceneSystem/LightBinner/Shadow Rotation
lb_allow_time_sliced_shadow_map_rendering|true|No|Allow time-sliced shadow buffer rendering when enabled via gameinfo.gi
lb_barnlight_shadow_use_precomputed_vis|true|No|
lb_barnlight_shadowmap_scale|0.5|No|Scale for computed barnlight shadowmap size
lb_bin_slices|8192|No|
lb_convert_to_barn_lights_falloff_match_point|0.15|No|
lb_csm_cascade_size_override|1|No|Override width/height of individual cascades in the CSM
lb_csm_cross_fade_override|-1|No|Override CSM cross fade amount
lb_csm_distance_fade_override|-1|No|Override CSM distance fade
lb_csm_draw_alpha_tested|false|No|
lb_csm_draw_translucent|false|No|
lb_csm_fov_override|-1|Yes|
lb_csm_override_bulb_radius|-1|No|Override bulb radius for CSM
lb_csm_override_staticgeo_cascades_animated_verts|true|No|If lb_csm_override_staticgeo_cascades, ensure only objects without animated verts, i.e. SCENEOBJECTFLAG_CAN_RENDER_INTO_SST flag will be excluded (as opposed to all static objects).
lb_csm_override_staticgeo_cascades_value|0|No|If lb_csm_override_staticgeo_cascades, override value used to determine which cascades render static objects
lb_csm_override_staticgeo_cascades|false|No|Override Cascades that will render static objects with lb_csm_override_staticgeo_cascades_value
lb_csm_receiver_plane_depth_bias_transmissive_backface|0.0002|No|Depth bias applied to shadow receiver for transmissive backface geo (based on renderstate depthbias being 0)
lb_csm_receiver_plane_depth_bias|2e-05|No|Shader depth bias applied to shadow receiver (Note this conflicts with renderstate depth bias, both now default to 0)
lb_cubemap_normalization_max|32|No|
lb_cubemap_normalization_roughness_begin|0.1|No|
lb_debug_light_bounds|false|Yes|SceneSystem/LightBinner/Debug Light Bounds
lb_debug_shadow_atlas|false|Yes|SceneSystem/LightBinner/Debug Shadow Atlas
lb_debug_shadowtile_atlas|false|Yes|SceneSystem/LightBinner/Debug ShadowTile Atlas
lb_debug_silhouette_sum|1|Yes|If we should draw normal silhouette or minkowski sum silhouette
lb_debug_silhouette||Yes|SceneSystem/LightBinner/Debug Silhouettes
lb_debug_tiles||Yes|SceneSystem/LightBinner/Debug Tiles
lb_debug_visualize_fog_shadowed_lights|0|Yes|SceneSystem/LightBinner/Debug Visualize Fog Shadowed Lights
lb_debug_visualize_lights|0|Yes|SceneSystem/LightBinner/Debug Visualize Lights
lb_debug_visualize_shadowed_light_details|false|Yes|
lb_debug_visualize_shadowed_lights|0|Yes|SceneSystem/LightBinner/Debug Visualize Shadowed Lights
lb_dynamic_shadow_penumbra|true|No|Adjust shadow penumbra based on light size
lb_dynamic_shadow_resolution_base_cmp_shadowmapsize|false|Yes|take min of lb_dynamic_shadow_resolution and barnlight shadowmapsize as base shadowmapsize
lb_dynamic_shadow_resolution_base|256|No|Base resolution for dynamic shadowmap sizing.  Shadowmap size of a screen sized light
lb_dynamic_shadow_resolution_delay|0.85|No|Update delay for shadow size
lb_dynamic_shadow_resolution_hysteresis|0.33|No|Update hysteresis for shadow size
lb_dynamic_shadow_resolution_quantization|64|No|Quantization of dynamically computed shadow size
lb_dynamic_shadow_resolution|true|No|Dynamically adjust shadow resolution
lb_enable_baked_shadows|true|Yes|SceneSystem/LightBinner/Enable Baked Shadows
lb_enable_binning|true|No|SceneSystem/LightBinner/Enable Binning
lb_enable_dynamic_lights|false|Yes|Allows rendering dynamic lights
lb_enable_envmaps|true|Yes|SceneSystem/LightBinner/Enable EnvMaps
lb_enable_fog_mixed_shadows|false|Yes|SceneSystem/LightBinner/Enable Fog Mixed Shadows
lb_enable_lights|false|Yes|SceneSystem/LightBinner/Enable Lights
lb_enable_newsum|true|Yes|SceneSystem/LightBinner/Enable New Sum
lb_enable_shadow_casting|false|No|Allow stationary/dynamic lights to cast shadows.
lb_enable_stationary_lights|true|Yes|Allows rendering stationary/mixed lights
lb_enable_sunlight|true|Yes|SceneSystem/LightBinner/Enable Sunlight
lb_low_quality_shader_fade_region_rescale|0|Yes|For envmaps in low quality shader mode, how much of the fade region to scale the envmap box by.
lb_max_visible_barn_lights_override|0|Yes|Override maximum visible barn lights
lb_max_visible_envmaps_override|-1|Yes|Override maximum visible envmaps
lb_mixed_shadows|true|Yes|SceneSystem/LightBinner/Enable Mixed Shadows
lb_override_barn_light_fade_sizes_enable|false|Yes|
lb_override_barn_light_fade_sizes|0.05 0.025|Yes|
lb_override_barn_light_shadow_fade_sizes|0.1 0.05|Yes|
lb_precomputed_shadowmap_depth_bias|0.0001|No|
lb_precomputed_shadowmap_enable|true|No|
lb_shadow_map_cull_empty_mixed|false|Yes|Don't render shadows for mixed shadowmaps with no dynamics objects in view
lb_shadow_map_culling|true|Yes|
lb_shadow_texture_height_override|-1|No|Override height of shadow atlas texture
lb_shadow_texture_width_override|-1|No|Override width of shadow atlas texture
lb_ssss_importance_sample|false|No|
lb_ssss_samples|0|No|Subsurface sample count
lb_sun_csm_size_cull_threshold_texels|30|No|Size, in texels, where we will cull an object in the shadowmap
lb_tile_pixels|8|No|
lb_timesliced_shadows_dynamic_size|true|No|
lb_use_ellipsoid_bounds|true|Yes|
lb_use_illumination_silhouette|true|Yes|SceneSystem/LightBinner/Use Illumination Bounds
r_Citadel_default_post_process_fade_ui|1|No|
r_arealights|true|No|
r_bloom_tent_filter_radius|0|Yes|bloom mip up-sample filtering radius (using 3x3 tent filter, radius in mip level texels), 0.0 radius =&gt; box (2x2) filter with (fixed) 1.0 radius
r_citadel_allow_particle_only_portraits|true|No|
r_citadel_antialiasing|1|No|
r_citadel_clip_sphere_cone_angle|40|Yes|
r_citadel_clip_sphere_distance_max|75|Yes|
r_citadel_clip_sphere_dist|0.45|Yes|
r_citadel_clip_sphere_min_opacity|0.4|Yes|
r_citadel_clip_sphere_skin|0.4|Yes|
r_citadel_cloak_blur_amount|0.01|Yes|cloak
r_citadel_cloak_blur_factor_max_roughness|1|Yes|cloak
r_citadel_cloak_blur_factor_min_roughness|1|Yes|cloak
r_citadel_cloak_blur_noise_amount|0.5|Yes|cloak
