ai_async_queue_debug | sv | Default: 0<br>Dump the ai async work queue jobs each tick.  0 = off, 1 = on, 2 = also dump entries
ai_async_queue_max_jobs | sv | Default: -1<br>Limit on number of jobs that will be run(serially) in a frame. - 1 = no limit
ai_async_queue_stop_on_request | sv | Default: true<br>Should queue stop processing new jobs when the frame stop request happens?
ai_disable | sv, cheat | Bi-passes all AI logic routines and puts all NPCs into their idle animations.  Can be used to get NPCs out of your way and to test effect of AI logic routines on frame rate
ai_facingservices_generated_target_min_duration | sv | Default: 1.2<br>
ai_gather_conditions_async | sv | Default: false<br>Allow gathering of conditions to be done asynchronously.
ai_lod_auto_enabled | sv | Default: false<br>
ai_lod_debug_display | sv | Default: 0<br>
ai_motor_use_fast_move_heading_bad_zone_pass | sv, cheat | Default: true<br>
ai_navigator_repath_tolerance_min_speed | sv, cheat | Default: 100<br>When calculating repathing tolerance, clamp entity speed to be at least this value (i.e. consider slow entities to be this fast).
ai_path_return_parallel_speed | sv | Default: 100<br>
ai_think_interval_lod_low | sv | Default: 0.5<br>Time interval between NPC thinks when set to AI LOD low.
ai_think_interval_lod_med | sv | Default: 0.25<br>Time interval between NPC thinks when set to AI LOD medium.
ai_think_interval_lod_very_low | sv | Default: 1<br>Time interval between NPC thinks when set to AI LOD very low.
ai_threaded_pathfind | sv | Default: true<br>
ai_use_async_ragdoll_fixup | sv | Default: false<br>
ainet_generate_report | sv | Generate a report to the console.
ainet_generate_report_only | sv | Generate a report to the console.
animgraph2_enable_parallel_update | sv, cl, rep | Default: true<br>
animgraph_debug_set_filter_params | sv, cl, rep | Default: <br>Comma separated list of params to filter against when drawing debug text overlays
animgraph_debug_set_filter_tags | sv, cl, rep | Default: <br>Comma separated list of tags to filter against when drawing debug text overlays
animgraph_enable_parallel_op_evaluation | sv, cl, rep | Default: false<br>
animgraph_enable_parallel_preupdate | sv, cl, rep | Default: false<br>
animgraph_enable_parallel_update | sv, cl, rep | Default: true<br>
animgraph_parallel_postdataupdate | cl | Default: true<br>
audio_enclosure_speed | sv, cl, rep | Default: 0.45<br>Adjusts rate of change for enclosure value over time.
autosave_fully_async | sv | Default: true<br>Set to 1 to have autosaves execute completely on the save thread, forces 'render only' mode while the save completes
battery_saver | a | Default: false<br>OBSOLETE replaced by mobile_fps_* - Battery saver mode. 0=off, 1=on
buildsparseshadowtree | cl | Build Sparse Shadow Tree
cc_flush | cl | Flushes async'd captions.
cc_showblocks | cl | Toggles showing which blocks are pending/loaded async.
cc_vr_caption_speed | cl, a | Default: 1<br>0 = slow, 1 = medium (default), 2 = fast
citadel_abrams_fastcharge_lagcomp | sv | Default: 0.15<br>
citadel_action_refresh_interval | cl | Default: 0.1<br>
citadel_ag2_controller_parallel_update_enabled | sv, cl, rep | Default: true<br>
citadel_aim_debug_name_filter | sv, cl, rep | Default: <br>Enter space separated names of calls to DebugDrawAimTrace() to only draw them.
citadel_aircontrol_speed_fast | sv, cl, rep, cheat | Default: 50<br>
citadel_bot_brain_aim_inaccuracy_speed | sv, rep, release | Default: 0.01<br>How fast the inaccuracy moves - mimic mouse movement correction
citadel_bot_brain_infrequent_tick_rate | sv, rep, release | Default: 60<br>
citadel_bot_brain_move_max_fallback_path_length | sv, rep, release | Default: 1750<br>If a bot fails its (fast) flowmap check, how far should we allow the nav system to look when generating a fallback path? Keep this value lower for performance reasons
citadel_bot_use_ability_rate | sv, rep, release | Default: -1<br>Interval in seconds that the bot attempts to use an ability
citadel_botmatch_tick_rate_override | sv, cl, rep, release | Default: 32<br>
citadel_brawl_hero_roster | cl, a, release | Default: <br>A comma separated list of hero IDs that hold the currently selected brawl roster heroes
citadel_brawl_hero_roster_high_priority | cl, a, release | Default: <br>A comma separated list of hero IDs that hold the currently high priority brawl roster heroes
citadel_brawl_hero_roster_preferred | cl, a, release | Default: <br>A comma separated list of hero IDs that hold the currently preferred brawl roster heroes
citadel_bullet_time_warp_decay_speed | sv, cl, rep | Default: 1<br>How fast bullets return to their normal speed after exiting a time warp
citadel_camera_parrot_smoothing_rate | cl | Default: 60<br>When the camera stops being clipped, smooth the motion back to the desired resting position.
citadel_camera_soft_collision_multi_thread | cl | Default: 8<br>Experimental: Use Multithreaded implementation. 0: Use regular style. &gt; 0 number of jobs to chunk the 128 traces into. Power of 2 only, please. 8 is great.
