"Wave","Candidate","P99","DeltaP99","P95","DeltaP95","Max","DeltaMax","CpuCores","DeltaCpu","FPSish","DeltaFPSish","Sim2"
"0","baseline/current","5.823","0","5.388","0","10.444","0","1.13","0","260.95","0","0"
"1","particle_1200","5.942","0.119","5.475","0.087","9.99","-0.454","1.138","0.008","252.63","-8.32","2"
"2","particle_1600","5.827","0.004","5.338","-0.05","9.869","-0.575","1.105","-0.025","261.22","0.27","0"
"3","tempent_1000","5.834","0.011","5.469","0.081","9.861","-0.583","1.126","-0.004","249.36","-11.59","6"
"4","break_pieces_0","6.078","0.255","5.606","0.218","9.295","-1.149","1.117","-0.013","246.77","-14.18","6"
"5","particles_render_only","5.888","0.065","5.292","-0.096","10.198","-0.246","1.126","-0.004","262.24","1.29","3"
"6","thread_pool_6","6.679","0.856","6.087","0.699","11.338","0.894","0.872","-0.258","217.14","-43.81","1"
"7","particle_800","6.703","0.88","6.028","0.64","9.747","-0.697","0.845","-0.285","214.26","-46.69","11"
"8","texture_pool_512","6.738","0.915","6.064","0.676","14.978","4.534","0.837","-0.293","218.28","-42.67","3"
"9","snd_ui_positional_false","6.577","0.754","6.062","0.674","12.979","2.535","0.855","-0.275","216.17","-44.78","1"
