"Wave","Command","P99ms","P99FPS","P95ms","P95FPS","MaxMS","AvgCpuCores","FramesPerSec","Sim2"
"0","baseline/current","5.823","171.7","5.388","185.6","10.444","1.13","260.95","0"
"1","r_particle_max_size_cull 1200","5.942","168.3","5.475","182.6","9.99","1.138","252.63","2"
"2","r_particle_max_size_cull 1600","5.827","171.6","5.338","187.3","9.869","1.105","261.22","0"
"3","cl_fasttempentcollision 1000","5.834","171.4","5.469","182.8","9.861","1.126","249.36","6"
"4","props_break_max_pieces_perframe 0","6.078","164.5","5.606","178.4","9.295","1.117","246.77","6"
"5","r_update_particles_on_render_only_frames 1","5.888","169.8","5.292","189","10.198","1.126","262.24","3"
"6","thread_pool_option 6","6.679","149.7","6.087","164.3","11.338","0.872","217.14","1"
"7","r_particle_max_size_cull 800","6.703","149.2","6.028","165.9","9.747","0.845","214.26","11"
"8","r_texture_pool_size 512","6.738","148.4","6.064","164.9","14.978","0.837","218.28","3"
"9","snd_ui_positional false","6.577","152","6.062","165","12.979","0.855","216.17","1"
