"Wave","Candidate","DurSec","CpuCores","FPSish","P95","P99","Max","MainMs","RenderMs","AudioMs","rendersystemdx11","scenesystem","materialsystem2","particles","panorama","vphysics2","soundsystem","amdxx64","d3d11"
"0","baseline/current","99.36","1.13","260.95","5.388","5.823","10.444","21875","12078","780","100.91","85.83","63.67","53.03","55.23","23.72","15.53","182.62","32.85"
"1","particle_1200","100.33","1.138","252.63","5.475","5.942","9.99","22066","11980","890","102.39","83.83","66.41","53.63","55.93","23.61","16.88","180.61","33.94"
"2","particle_1600","101.81","1.105","261.22","5.338","5.827","9.869","22021","11766","897","97.26","83.85","62.13","51.84","53.1","23.2","17.86","175.36","31.5"
"3","tempent_1000","101.92","1.126","249.36","5.469","5.834","9.861","23018","11945","820","99.93","86.02","66.07","49.46","53.71","23.64","16.25","177.16","32.96"
"4","break_pieces_0","102.86","1.117","246.77","5.606","6.078","9.295","23171","12064","967","100.82","83.19","62.83","53.14","54.55","23.81","18.54","171.22","32.72"
"5","particles_render_only","100.61","1.126","262.24","5.292","5.888","10.198","22044","12115","910","100.04","84.64","62.08","50.82","55.48","23.5","18.98","178.33","33.26"
"6","thread_pool_6","99.06","0.872","217.14","6.087","6.679","11.338","17223","7991","665","70.67","58.92","45.28","38.4","38.02","16.35","12.33","120.03","22.3"
"7","particle_800","102.06","0.845","214.26","6.028","6.703","9.747","16991","7878","733","68.45","58.88","43.03","38.01","35.48","16.69","12.01","117.63","21.78"
"8","texture_pool_512","102.8","0.837","218.28","6.064","6.738","14.978","17146","7949","744","67.02","57.55","42.31","35.66","36.26","16.96","12.58","117.35","21.36"
"9","snd_ui_positional_false","100.71","0.855","216.17","6.062","6.577","12.979","17193","7945","613","69.3","59.06","44.27","35.58","36.24","16.88","11.59","119.59","21.76"
