"Wave","RunId","DurationSec","AvgCpuCores","FrameEventsPerSec","CleanP95","CleanP99","CleanMax","After5P99","After5Max","Sim2","ProcessId"
"0","wave0","99.36","1.13","260.95","5.388","5.823","10.444","5.777","22.32","0","11904"
"1","wave1","100.33","1.138","252.63","5.475","5.942","9.99","5.854","23.258","2","2692"
"2","wave2","101.81","1.105","261.22","5.338","5.827","9.869","5.678","20.129","0","7896"
"3","wave3","101.92","1.126","249.36","5.469","5.834","9.861","5.864","22.922","6","7412"
"4","wave4","102.86","1.117","246.77","5.606","6.078","9.295","6.049","23.367","6","2268"
"5","wave5","100.61","1.126","262.24","5.292","5.888","10.198","5.737","23.737","3","1968"
"6","wave6","99.06","0.872","217.14","6.087","6.679","11.338","6.463","24.098","1","6516"
"7","wave7","102.06","0.845","214.26","6.028","6.703","9.747","7.22","23.057","11","9824"
"8","wave8","102.8","0.837","218.28","6.064","6.738","14.978","6.536","24.279","3","10468"
"9","wave9","100.71","0.855","216.17","6.062","6.577","12.979","6.534","23.675","1","4668"
