name,values,default,flags,desc,sources,uncommented,count,default_same,bad_debug,example
sc_aggregate_render_mesh_shader,false,true,developmentonly,Using mesh shaders if available instead of drawcalls,"Sqooky,SqookyBase,TestCfg",4,4,False,False,"sc_aggregate_render_mesh_shader                 ""false"""
snd_soundmixer_version,1,2,developmentonly defensive,<no description>,"Kaizu,Sqooky,SqookyBase,TestCfg",3,4,False,False,"snd_soundmixer_version                      ""1""             // [def: ""2""]"
cl_phys_assume_fixed_tick_interval,false,true,developmentonly clientdll,"If true, we assume the client uses a fixed tickrate like the server (which may not always be true). If false, we recalculate the number of physics substeps in each client tick based on the actual elapsed time in the tick.","Sqooky,SqookyBase,TestCfg",3,3,False,False,"cl_phys_assume_fixed_tick_interval          ""false""         // Assume the client uses a fixed tickrate like the server (which may not always be true)actual [def: ""true""]"
parallel_perform_invalidate_physics,true,false,developmentonly gamedll clientdll replicated,<no description>,"Sqooky,SqookyBase,TestCfg",3,3,False,False,"parallel_perform_invalidate_physics         ""true""          // Not sure                                                         [def: ""false""]"
phys_batch_ray_test,16,0,developmentonly clientdll defensive,<no description>,"Sqooky,SqookyBase,TestCfg",3,3,False,False,"phys_batch_ray_test                             ""16"""
r_citadel_distancefield_max_distance,16,2048,developmentonly clientdll defensive,Maximum distance before culling,"Sqooky,SqookyBase,TestCfg",3,3,False,False,"r_citadel_distancefield_max_distance            ""16"""
r_citadel_distancefield_min_screen_space_size,99,0.015,developmentonly clientdll defensive,Minimum screen space size before culling,"Sqooky,SqookyBase,TestCfg",3,3,False,False,"r_citadel_distancefield_min_screen_space_size   ""99"""
r_particle_timescale,1.1,0,reference,<no description>,"Sqooky,SqookyBase,TestCfg",3,3,False,False,"r_particle_timescale                        ""1.1""           // Speeds up particle simulation, thus making them end sooner, however this causes visual desyncs, most notably with big effects that last a while such as infernus ult. Please tweak this to what you are comfortable with. [def: ""1""]"
sc_aggregate_gpu_culling_show_culled,true,false,developmentonly menubar_item,SceneSystem/Aggregates/Show GPU Culled Meshes,"Sqooky,SqookyBase,TestCfg",3,3,False,False,"sc_aggregate_gpu_culling_show_culled            ""true"""
snd_occlusion_rays,0,4,replicated cheat,<no description>,"Sqooky,SqookyBase,TestCfg",3,3,False,False,"snd_occlusion_rays                          ""0""             // Occlusion bounces, this effectively disables them.               [def: ""4""]"
ai_lod_auto_enabled,"1,true",false,developmentonly gamedll,<no description>,"Boot,Kaizu",1,2,False,False,"// ai_lod_auto_enabled                       ""1""             // Default 0, idk about this"
cl_skip_update_animations,"0,true",false,developmentonly clientdll,Enable to skip game animations,"Kaizu,TestCfg",1,2,False,False,"""cl_skip_update_animations"" ""0"" // Puts neutrals in the ground"
ai_think_interval_lod_med,0.4,0.25,"min: 0.01, developmentonly gamedll defensive",Time interval between NPC thinks when set to AI LOD medium.,Kaizu,1,1,False,False,"""ai_think_interval_lod_med"" ""0.4"""
citadel_camera_hard_trace_radius,32,16,developmentonly gamedll clientdll replicated,The radius of the cylinder to trace for hard camera occlusion.,TestCfg,1,1,False,False,citadel_camera_hard_trace_radius 32
citadel_camera_parrot_smoothing_rate,0,60,developmentonly clientdll defensive,"When the camera stops being clipped, smooth the motion back to the desired resting position.",Kaizu,1,1,False,False,"""citadel_camera_parrot_smoothing_rate"" ""0""   // Stops the camera from running math to ""smooth"" itself back into place after hitting a wall."
citadel_radial_distortion,1,0,developmentonly clientdll defensive,0: Off 1: Distorts the visible distribution of arcs based on the mouse pointer.,TestCfg,1,1,False,False,citadel_radial_distortion 1
citadel_show_chat_wheel_angle_threshold,0,16,developmentonly clientdll,(degrees) Increase this to change how much you have to move your camera angle to make the Chat Wheel instantly visible while holding Ping.,TestCfg,1,1,False,False,citadel_show_chat_wheel_angle_threshold 0
citadel_video_preset,0,3,"min: 0, max: 3, clientdll archive",Rendering performance level.,TestCfg,1,1,False,False,citadel_video_preset 0
cl_phys_animated_hierarchy,false,true,developmentonly clientdll defensive,<no description>,Kaizu,1,1,False,False,"""cl_phys_animated_hierarchy"" ""false"""
cloth_ground_plane_thickness,0,3,developmentonly defensive,Raise ground by this much for all cloth that traces the ground; should be 0 ideally,TestCfg,1,1,False,False,cloth_ground_plane_thickness 0
g_ragdoll_maxcount,1,5,developmentonly gamedll clientdll replicated defensive,<no description>,Kaizu,1,1,False,False,"""g_ragdoll_maxcount"" ""1"""
ik_enable,0,true,replicated cheat,Enable IK.,Kaizu,1,1,False,False,"""ik_enable"" ""0"""
lb_enable_newsum,0,true,developmentonly cheat menubar_item,SceneSystem/LightBinner/Enable New Sum,Kaizu,1,1,False,False,"""lb_enable_newsum"" ""0"""
lb_shadow_texture_height_override,16,-1,developmentonly defensive,Override height of shadow atlas texture,Kaizu,1,1,False,False,"""lb_shadow_texture_height_override"" ""16""         // Shrinks the global shadow atlas to 16 pixels"
lb_shadow_texture_width_override,16,-1,developmentonly defensive,Override width of shadow atlas texture,Kaizu,1,1,False,False,"""lb_shadow_texture_width_override"" ""16""          // Shrinks the global shadow atlas to 16 pixels"
mat_depthbias_shadowmap,0,0.0005,developmentonly clientdll defensive,<no description>,Kaizu,1,1,False,False,"""mat_depthbias_shadowmap"" ""0""                    // Disables shadow depth bias math"
mat_slopescaledepthbias_shadowmap,0,4,developmentonly clientdll defensive,<no description>,Kaizu,1,1,False,False,"""mat_slopescaledepthbias_shadowmap"" ""0""          // Disables shadow depth bias math"
panorama_clear_frames_on_device_restore,0,2,developmentonly hidden defensive,<no description>,Kaizu,1,1,False,False,"""panorama_clear_frames_on_device_restore"" ""0"""
panorama_disable_descendant_filtering,true,false,developmentonly hidden defensive,Disable descendant selector filtering,Kaizu,1,1,False,False,"""panorama_disable_descendant_filtering"" ""true"""
panorama_draw_text_fast_path,1,true,developmentonly hidden defensive,<no description>,Kaizu,1,1,False,False,"""panorama_draw_text_fast_path"" ""1""              // Forces text rendering through a hardware fast-path"
panorama_draw_text_fast_path_text_shadow,1,true,developmentonly hidden defensive,<no description>,Kaizu,1,1,False,False,"""panorama_draw_text_fast_path_text_shadow"" ""1""  // Forces text shadows through a hardware fast-path"
panorama_enable_secondary_layout_pass,0,true,developmentonly hidden defensive,<no description>,Kaizu,1,1,False,False,"""panorama_enable_secondary_layout_pass"" ""0""     // Skips the secondary CSS layout check (drastically reduces UI calculation time)"
panorama_hsbc_through_fast_path,1,true,developmentonly hidden defensive,<no description>,Kaizu,1,1,False,False,"""panorama_hsbc_through_fast_path"" ""1""           // Forces UI hue/saturation/brightness changes through a fast-path"
panorama_script_cache_enabled,1,true,developmentonly hidden defensive,Enable script caching to speed up recompiling scripts multiple times.,Kaizu,1,1,False,False,"""panorama_script_cache_enabled"" ""1""             // Aggressively caches UI Javascript to prevent mid-game recompilation"
panorama_use_backbuffer_directly,1,true,developmentonly hidden defensive,<no description>,Kaizu,1,1,False,False,"""panorama_use_backbuffer_directly"" ""1""          // Skips copying the UI buffer to memory and writes directly to the backbuffer"
phys_continuous_kinematic_update,0,1,developmentonly gamedll clientdll replicated defensive,<no description>,Kaizu,1,1,False,False,"""phys_continuous_kinematic_update"" ""0"""
r_flush_on_pooled_ib_resize,false,true,release,<no description>,Kaizu,1,1,False,False,"r_flush_on_pooled_ib_resize ""false"""
r_texture_nonstreaming_load,1,true,developmentonly defensive,"Allow immediately loading mips of textures (when possible) when their headers are loaded, saving IO & reducing latency.",Kaizu,1,1,False,False,"""r_texture_nonstreaming_load"" ""1"""
rtx_dynamic_blas_caching,false,true,developmentonly defensive,Cache dynamic BLAS if geometry has not changed,TestCfg,1,1,False,False,rtx_dynamic_blas_caching false
rtx_texture_resolution,64,512,"min: 64, max: 2048, developmentonly defensive",Sets the texture resolution the raytracer will mark to stream in,TestCfg,1,1,False,False,rtx_texture_resolution 64
sc_aggregate_gpu_occlusion_culling,1,true,developmentonly defensive,<no description>,Kaizu,1,1,False,False,"""sc_aggregate_gpu_occlusion_culling"" ""1"""
sc_aggregate_gpu_vis_culling,1,true,developmentonly defensive,<no description>,Kaizu,1,1,False,False,"""sc_aggregate_gpu_vis_culling"" ""1"""
sc_aggregate_indirect_draw_compaction_threshold,1,8,"min: 1, release",Threshold of indirect draws when we will do compaction,TestCfg,1,1,False,False,sc_aggregate_indirect_draw_compaction_threshold 1
sc_aggregate_rtproxy_instanced_geo,false,true,developmentonly cheat,<no description>,TestCfg,1,1,False,False,sc_aggregate_rtproxy_instanced_geo false
sc_aggregate_rtproxy_unique_geo,false,true,developmentonly cheat,<no description>,TestCfg,1,1,False,False,sc_aggregate_rtproxy_unique_geo false
sc_allow_dynamic_constant_batching,1,true,developmentonly defensive,<no description>,Kaizu,1,1,False,False,"""sc_allow_dynamic_constant_batching"" ""1"""
sc_allow_precomputed_vismembers,1,true,developmentonly defensive,<no description>,Kaizu,1,1,False,False,"""sc_allow_precomputed_vismembers"" ""1"""
sc_barnlight_enable_precomputed_vis,1,true,developmentonly defensive,Enable use of precomputed vis membership for lights (requires map restart),Kaizu,1,1,False,False,"""sc_barnlight_enable_precomputed_vis"" ""1"""
sc_disable_culling_boxes,1,false,cheat,<no description>,Kaizu,1,1,False,False,"""sc_disable_culling_boxes"" ""1""       // Skips calculating bounding boxes for culling"
