ai_animgraph_lerp_movement_yaw | sv | Default: false<br>If set, forces animgraph-using NPCs to lerp their movement yaw.
ai_async_queue_debug | sv | Default: 0<br>Dump the ai async work queue jobs each tick.  0 = off, 1 = on, 2 = also dump entries
ai_async_queue_max_jobs | sv | Default: -1<br>Limit on number of jobs that will be run(serially) in a frame. - 1 = no limit
ai_async_queue_stop_on_request | sv | Default: true<br>Should queue stop processing new jobs when the frame stop request happens?
ai_debug_phys_force | sv | Default: false<br>
ai_gather_conditions_async | sv | Default: false<br>Allow gathering of conditions to be done asynchronously.
ai_path_return_parallel_speed | sv | Default: 100<br>
ai_ragdoll_phys_death_multiplier | sv | Default: 1<br>
ai_threaded_pathfind | sv | Default: true<br>
ai_use_async_ragdoll_fixup | sv | Default: false<br>
animgraph2_enable_parallel_update | sv, cl, rep | Default: true<br>
animgraph_debug | sv, cl, rep, cheat | Default: false<br>Debug animation graph
animgraph_debug_animevents | sv, cl, rep | Default: false<br>Print info about animevents emitted by AnimGraph
animgraph_debug_entindex | sv, cl, rep, cheat | Default: 0<br>The entity to specifically debug
animgraph_debug_filterent | sv, cl, rep | Default: 0<br>Filter setting for animgraph_debug_variables output. If set to -1, show debug for all entities. If set to 0, show debug for any NPCs that have been npc_selected. If set to &gt;0, something other than 0, show debug for the entity with the matching entindex.
animgraph_debug_max_poseop_count |  | Default: false<br>
animgraph_debug_set_filter_params | sv, cl, rep | Default: <br>Comma separated list of params to filter against when drawing debug text overlays
animgraph_debug_set_filter_tags | sv, cl, rep | Default: <br>Comma separated list of tags to filter against when drawing debug text overlays
animgraph_debug_show_unreferenced_params | sv, cl, rep | Default: false<br>
animgraph_debug_show_unreferenced_tags | sv, cl, rep | Default: false<br>
animgraph_debug_tags | sv, cl, rep | Default: false<br>
animgraph_debug_variables | sv, cl, rep | Default: false<br>Turn on to see animgraph variable changes for entities passing animgraph_debug_filterent.
animgraph_debug_variables_ignore_missing | sv, cl, rep | Default: true<br>If set, animgraph_debug_variables won't show debug for warnings about sets to missing variables.
animgraph_debug_variables_ignore_nonchanges | sv, cl, rep | Default: true<br>If set, animgraph_debug_variables won't show debug for variable sets that don't change the value.
animgraph_draw_traces | sv, cl, rep | Default: false<br>
animgraph_dump_update_list | sv | Displays stats about which animations are updating
animgraph_enable | sv, cl, rep | Default: true<br>Enable animation graph
animgraph_enable_dirty_netvar_optimization | rep | Default: true<br>
animgraph_enable_parallel_op_evaluation | sv, cl, rep | Default: false<br>
animgraph_enable_parallel_preupdate | sv, cl, rep | Default: false<br>
animgraph_enable_parallel_update | sv, cl, rep | Default: true<br>
animgraph_footlock_auto_ledge_detection | rep | Default: true<br>Attempt to detect when the foot is partially hanging off a ledge and stop it tilting to reach the bottom
animgraph_footlock_auto_stair_detection | rep | Default: true<br>Attempt to detect when the foot is on a stair and will stop it from tilting to reach the next step
animgraph_footlock_calculate_tilt | rep | Default: true<br>
animgraph_footlock_debug_foot_index | rep | Default: -1<br>
animgraph_footlock_debug_type | rep | Default: 2<br>
animgraph_footlock_draw_footbase | rep | Default: false<br>
animgraph_footlock_enabled | rep | Default: true<br>A master convar that effectively disables the entire footlock node.
animgraph_footlock_ground_roll | rep | Default: true<br>
animgraph_footlock_hip_offset_enable | rep | Default: true<br>
animgraph_footlock_ik_enable | rep, cheat | Default: true<br>Enable IK.
animgraph_footlock_tilt_mode | rep | Default: 1<br>
animgraph_footlock_trace_ground_enabled | rep | Default: true<br>Convar for toggling foot lock ground tracking.
animgraph_footlock_use_hip_shift | rep | Default: true<br>
animgraph_footstep_node_supresses_events | sv, cl, rep | Default: false<br>
animgraph_force_full_network_updates | rep | Default: false<br>
animgraph_ik_debug | rep | Default: false<br>
animgraph_motionmatching_print_compressionstats | rep | Default: false<br>
animgraph_network_enable | sv, cl, rep | Default: true<br>Enable animation graph networking. The setting is only read at graph creation time; to use please set on the command line.
animgraph_parallel_postdataupdate | cl | Default: true<br>
animgraph_record_all | sv, cl, rep, cheat | Default: false<br>Automatically start recording AnimGraphs when they get created, and save them to disk when they are destroyed
animgraph_slope_draw_raycasts | sv, cl, rep, cheat | Default: false<br>
animgraph_slope_enable | sv, cl, rep, cheat | Default: false<br>
animgraph_slowdownonslopes_enabled | rep | Default: true<br>
animgraph_trace_ignore_prop_physics | sv, cl, rep | Default: true<br>
animgraph_trace_static_only | sv, cl, rep, cheat | Default: false<br>
animgraph_verify_dirty_netvar_optimization | rep | Default: false<br>
automatically_open_saved_animgraph_recording | sv, cl, a, rep | Default: false<br>
autosave_fully_async | sv | Default: true<br>Set to 1 to have autosaves execute completely on the save thread, forces 'render only' mode while the save completes
citadel_ag2_controller_parallel_update_enabled | sv, cl, rep | Default: true<br>
citadel_client_mm_ignore_engine_version | cl | Default: false<br>Ignore the engine version number for matchmaking. Useful for testing locally in release.
citadel_player_debug_animgraph_movement | sv, cl, rep | Default: false<br>Visually show the movement data for the player from the AnimGraph
citadel_server_mm_ignore_engine_version | sv | Default: false<br>Ignore engine build version. Useful for testing release locally
citadel_zipline_animgraph_cuvature_max | sv, cl, rep | Default: 50<br>
cl_animgraph_dump_update_list | cl | Displays stats about which animations are updating
cl_animgraph_history_force_temporal_consistency | cl | Default: true<br>
